frame,is_boundary,support_area,object_luma_median,brown_shell_luma_median,brown_shell_luma_p25,brown_shell_fraction,cool_spot_fraction,background_luma_median,brown_to_background_ratio,temporal_luma_l1
0,0,29406,41.24140167236328,41.09700012207031,37.53139877319336,0.9071618037135278,0.04196422498809767,87.96839904785156,0.4671791195869446,0.0
1,0,29517,41.531402587890625,41.387001037597656,38.09700012207031,0.9045634718975506,0.044110173798150215,87.96839904785156,0.47047579288482666,2.702512741088867
2,0,29735,41.960601806640625,41.531402587890625,38.24140167236328,0.8992096855557424,0.04802421388935598,87.92659759521484,0.47234174609184265,2.445807695388794
3,0,29711,42.09700012207031,42.03399658203125,38.387001037597656,0.901551613880381,0.04604355289286796,88.25840759277344,0.47626054286956787,5.103430271148682
4,0,29760,41.60879898071289,41.531402587890625,38.09700012207031,0.9035954301075269,0.03689516129032258,86.96839904785156,0.47754591703414917,7.37672758102417
5,0,29894,42.09700012207031,42.03399658203125,38.46440124511719,0.9039606610022078,0.04469124238977721,88.48420715332031,0.47504517436027527,5.275184631347656
6,0,29945,42.09700012207031,42.03399658203125,38.531402587890625,0.9054266154616798,0.041208882952078814,88.53919982910156,0.4747501313686371,2.8005335330963135
7,0,30058,44.898799896240234,44.60879898071289,40.09700012207031,0.9047175460775834,0.04328298622662852,88.49739074707031,0.5040690898895264,6.594560623168945
8,0,30130,53.09700012207031,52.754398345947266,46.60879898071289,0.9084633255891138,0.04832392963823432,88.53919982910156,0.5958309769630432,13.721922874450684
9,1,30088,55.45000076293945,55.08259963989258,47.44999694824219,0.9017548524328636,0.05095054506780112,88.40400695800781,0.6230781078338623,6.1064839363098145
10,0,30235,41.18239974975586,41.038002014160156,38.18239974975586,0.8891681825698694,0.05616007937820407,88.1741943359375,0.4654196500778198,14.658946990966797
11,0,30253,38.607601165771484,38.4724006652832,34.60879898071289,0.8852675767692461,0.05612666512411992,88.33580017089844,0.43552443385124207,5.330323219299316
12,0,30293,34.607601165771484,34.4724006652832,32.18239974975586,0.8825801340243621,0.05433598521110487,88.25840759277344,0.39058488607406616,4.489506721496582
13,0,30310,34.61159896850586,34.61159896850586,32.18239974975586,0.8834378093038601,0.054800395908940945,87.92659759521484,0.39364197850227356,4.930255889892578
14,0,30277,34.89879608154297,34.61159896850586,32.034000396728516,0.8811639198071143,0.057139082471843315,88.33580017089844,0.39181849360466003,3.7576091289520264
15,0,30273,34.182403564453125,33.9015998840332,31.463199615478516,0.881709774386417,0.057113599577180985,88.25840759277344,0.3841175138950348,4.316652774810791
