latent_frame,block,block_frame,pixel_start,pixel_end,runtime_edit_fraction,selected_fraction,owner_fraction,hand_fraction,edit_hand_overlap_fraction,target_action_mean,source_closure_mean,kv_read_fraction,kv_read_mean,kv_write_core_fraction,payload_commit_fraction,topology_hole_fraction,topology_read_fraction,topology_read_mean,persistent_direct_fraction,persistent_retained_fraction,persistent_payload_fraction,persistent_guarded_fraction,flow_object_mean,flow_background_mean,flow_boundary_mean,flow_unknown_mean,flow_recovered_fraction,flow_transport_confidence_mean,flow_appearance_trust_mean,flow_local_transport_confidence_mean,flow_ledger_support_fraction,flow_ledger_confidence_mean,flow_ledger_appearance_trust_mean,flow_ledger_local_transport_mean,sink_admission_fraction,sink_selected_frame_mean,sink_source_similarity_mean,sink_attention_entropy_mean,sink_attention_peak_mean,sink_coverage_mean,sink_applied_strength_mean,immutable_owner_mean,immutable_support_mean,immutable_correction_mean,immutable_subspace_coherence_mean,immutable_assignment_entropy_mean,immutable_assignment_peak_mean,immutable_assignment_margin_mean
10,3,1,37,40,0.10897435897435898,0.10897435992956161,0.10256410390138626,0.05128205128205128,0.0,0.12807460129261017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07078871130943298,0.4565128684043884,0.06597398221492767,0.08703427761793137,0.035897435897435895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3,2,41,44,0.11217948717948718,0.11217948794364929,0.10064102709293365,0.0532051282051282,0.0,0.12877050042152405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06514956802129745,0.434844970703125,0.059154149144887924,0.11030666530132294,0.023717948717948717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,4,0,45,48,0.10833333333333334,0.10833333432674408,0.09679487347602844,0.060897435897435896,0.0,0.12508046627044678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06543158739805222,0.4334166646003723,0.06149769201874733,0.10657254606485367,0.027564102564102563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4,1,49,52,0.12051282051282051,0.12051282078027725,0.11730769276618958,0.04871794871794872,0.0,0.13937602937221527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05512825772166252,0.5951835513114929,0.04881498962640762,0.12664982676506042,0.026923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4,2,53,56,0.11538461538461539,0.11538461595773697,0.11282051354646683,0.0532051282051282,0.0,0.1363784670829773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06779613345861435,0.47122353315353394,0.05784695968031883,0.11261342465877533,0.03782051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,5,0,57,60,0.11474358974358974,0.11474359035491943,0.11282051354646683,0.05512820512820513,0.0,0.13569307327270508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0689779594540596,0.42438220977783203,0.05798717215657234,0.11693986505270004,0.03717948717948718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5,1,61,64,0.11858974358974358,0.11858974397182465,0.11474359035491943,0.05576923076923077,0.0,0.13680212199687958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0681997537612915,0.42494210600852966,0.054801780730485916,0.11801213026046753,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5,2,65,68,0.11217948717948718,0.11217948794364929,0.10961538553237915,0.05641025641025641,0.0,0.13607871532440186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04320549592375755,0.43771958351135254,0.04077722504734993,0.13655176758766174,0.035897435897435895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,6,0,69,72,0.10961538461538461,0.10961538553237915,0.10192307829856873,0.05641025641025641,0.0,0.13199438154697418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05649461969733238,0.43425190448760986,0.05858408659696579,0.11204925924539566,0.03461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,6,1,73,76,0.11282051282051282,0.11282051354646683,0.10705128312110901,0.05576923076923077,0.0,0.1352059692144394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061076272279024124,0.4795982241630554,0.06521496176719666,0.09863468259572983,0.03461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,6,2,77,80,0.11025641025641025,0.11025641113519669,0.1051282063126564,0.058333333333333334,0.0,0.13291294872760773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05787047743797302,0.47338545322418213,0.06087498739361763,0.11856579780578613,0.032692307692307694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
