target_frame,is_block_boundary,L0_hard_relative_step_px,L0_temporal_iou,L0_angle_step_deg,F0R_hard_relative_step_px,F0R_temporal_iou,F0R_angle_step_deg,P0_hard_relative_step_px,P0_temporal_iou,P0_angle_step_deg
1,0,0.9225828873590157,0.967070150347089,1.0308741384552746,5.055261151127963,0.9142607521544022,5.432985605040884,0.05131639353351678,0.9835698528201244,0.6796404150186817
2,0,0.309504326493037,0.9668121665627382,0.9389662500207265,1.8166326204309862,0.9689281190626979,0.7801690958738874,0.547746500377458,0.9813573180703189,0.48434039094065895
3,0,1.1181802694514926,0.9573696927856403,1.856989602379457,0.2955124455294377,0.9744875621890547,0.7262334709442229,0.8090073856113624,0.9800816326530613,0.3476662928460428
4,0,0.8138877887110652,0.9563903134870767,1.3699065161151367,0.5479040752332042,0.9710127873225073,0.09631738684464608,0.31508757181813285,0.982538441490748,0.3400482203913384
5,0,0.6216974264990069,0.9781724010358861,0.13804385833795152,0.891097197963525,0.9763708795500703,0.09346378387299126,0.11814600355701664,0.9888914078440263,0.003832212775293442
6,0,0.49490611002694834,0.9815485775630703,0.37776150092554417,0.6699366864479668,0.9700065538378504,1.167073667305857,0.06069816707499321,0.9930463469064329,0.23087679090239988
7,0,1.170734851704083,0.9680576504105916,0.5839539654613475,2.4921325257656846,0.9477039876170119,5.6127362406746215,0.20917691139518665,0.9829346041150143,0.5743406315473294
8,0,1.4464770686099295,0.9501833944648216,3.785826495871291,1.9497755820291136,0.9578493681057784,3.900809958048214,0.5626858040118653,0.9798733241166447,0.6594291095786247
9,1,0.8382155674540637,0.9637011884550085,1.5302298859834593,0.5633723026973994,0.9780853517877739,1.5131313361687546,0.1318326912592951,0.9861529004497072,0.0009726353465708826
10,0,1.8565213755846992,0.9605500763995,1.7420357507995305,0.10481274330644842,0.9763176571663367,1.3962128152297737,1.6201387487865428,0.9696072369919625,0.934839460561804
11,0,1.4480501712119123,0.9747629621796905,0.4380084394924495,0.10007959069564008,0.9820377245284434,1.6992131297660364,1.2400730197058427,0.9793422303833164,0.7684440998433075
12,0,1.2991302491731533,0.9748635042189605,0.8639142481305981,0.32727833380669535,0.9774643683307216,0.11383343530594914,0.7334399597522588,0.9835662271206456,1.3769635989850002
13,0,0.8941510501207676,0.975081218092892,0.9820091659454704,0.49127612235751594,0.9782941110655279,1.0231835617351095,0.25094589517283244,0.9819956975012412,0.1221038059695303
14,0,0.8214399652950637,0.9740056818181818,1.046304648841172,1.0252294514199392,0.9819846869839364,1.8083608931875688,0.9714648636366877,0.9753790375741596,1.2338377665058715
15,0,1.065578057401629,0.9706971444847967,0.17138992944222764,0.6371640580472742,0.9696335078534032,2.0294528007209323,0.710091256483561,0.9763298047208889,0.7865305923295693
16,0,0.8591739771452935,0.9712857598638732,0.7955759155172615,0.29103420923991075,0.9719744747546367,0.408171680012714,0.896997154441583,0.9781904979890789,0.2037940433844625
17,0,0.6694687088410297,0.9817364428210171,1.0481246126078076,0.38662790057507235,0.9860981001985986,0.41620139791608324,0.1283420289733266,0.9898119122257053,0.07095124995349522
18,0,0.541286328427559,0.9819478102061602,0.3627041734991394,0.7358587403698023,0.9766391470141794,1.0362743866243136,1.2090984370891424,0.9810387739062091,0.2756733505200657
19,0,0.8874261699081573,0.9664101753276413,0.23201966049576583,2.067679234967584,0.958971151015602,0.8205379676099369,0.19814325429311802,0.9693636303933801,0.2811088175368468
