frame,inner_mean,inner_std,inner_p90,display_mean,side_mean
0,0.38367995619773865,0.1897580921649933,0.6915032863616943,0.5190836787223816,0.4165208041667938
1,0.3636322319507599,0.15867026150226593,0.6065359711647034,0.5046467185020447,0.3934040665626526
2,0.3850644826889038,0.18553437292575836,0.6836602091789246,0.4967154860496521,0.4123924970626831
3,0.38564082980155945,0.1870459020137787,0.686274528503418,0.5163589119911194,0.4142557680606842
4,0.3590202331542969,0.15570366382598877,0.6065359711647034,0.5010501146316528,0.3858191668987274
5,0.38502123951911926,0.1856829971075058,0.6810457706451416,0.5099290013313293,0.41352832317352295
6,0.3831186592578888,0.1835259646177292,0.6732025742530823,0.5104551911354065,0.41195738315582275
7,0.36660459637641907,0.16070131957530975,0.630065381526947,0.4926629066467285,0.3894660174846649
8,0.42702510952949524,0.16051293909549713,0.6771242022514343,0.5070344805717468,0.43792724609375
9,0.41303274035453796,0.16151003539562225,0.669281005859375,0.5202182531356812,0.42606067657470703
10,0.38639506697654724,0.1496114730834961,0.6313725709915161,0.4985828101634979,0.3994602560997009
11,0.39761650562286377,0.17419666051864624,0.6810457706451416,0.5298603773117065,0.420868456363678
12,0.3892599940299988,0.17343345284461975,0.6732026934623718,0.5338957905769348,0.41235873103141785
13,0.3861832022666931,0.15503855049610138,0.6484967529773741,0.4832169711589813,0.3997369408607483
14,0.3978388011455536,0.16980063915252686,0.6823530197143555,0.5301470160484314,0.42334306240081787
15,0.39088010787963867,0.165913924574852,0.6627450585365295,0.5274515151977539,0.41091492772102356
16,0.39158549904823303,0.15818850696086884,0.6535947918891907,0.47508081793785095,0.40418246388435364
17,0.40046581625938416,0.17188499867916107,0.6810457706451416,0.5322979092597961,0.42473986744880676
18,0.39256516098976135,0.16535604000091553,0.658823549747467,0.5332425832748413,0.40880832076072693
19,0.39241188764572144,0.16361312568187714,0.6694117844104795,0.4891037046909332,0.4082915186882019
20,0.3887590169906616,0.17514468729496002,0.6823529601097107,0.5377119183540344,0.41829240322113037
21,0.3814050257205963,0.15838250517845154,0.6379085183143616,0.5313435196876526,0.39756375551223755
22,0.38988587260246277,0.16086873412132263,0.6640523076057434,0.5025559663772583,0.41082659363746643
23,0.396167129278183,0.16554662585258484,0.6758170127868652,0.5463206171989441,0.4187355041503906
24,0.3754956126213074,0.1509241908788681,0.6169934868812561,0.5490370392799377,0.3919958770275116
25,0.389275461435318,0.1624520868062973,0.669281005859375,0.5189555287361145,0.40784358978271484
26,0.3874748945236206,0.1638806015253067,0.6758170127868652,0.546614944934845,0.41142040491104126
27,0.3686026930809021,0.14636358618736267,0.6130719184875488,0.5356341600418091,0.38559216260910034
28,0.3843451142311096,0.16307112574577332,0.671895444393158,0.5147846937179565,0.40632638335227966
29,0.3829987943172455,0.16382916271686554,0.6705882549285889,0.5552846789360046,0.4090065658092499
30,0.36427170038223267,0.1443200558423996,0.6078431606292725,0.5517975687980652,0.3840351998806
31,0.3815639317035675,0.16572822630405426,0.6758170127868652,0.5577433109283447,0.41037166118621826
32,0.37831366062164307,0.16374070942401886,0.6692810654640198,0.5722951889038086,0.4066592752933502
33,0.37206950783729553,0.1322035789489746,0.5999999642372131,0.5420275926589966,0.3816445767879486
34,0.40191909670829773,0.15672902762889862,0.6705882549285889,0.5643925666809082,0.4093756079673767
35,0.40358948707580566,0.1529388427734375,0.6627451181411743,0.5745862722396851,0.40790674090385437
36,0.38858121633529663,0.13016727566719055,0.5934640765190125,0.5424139499664307,0.3827497661113739
37,0.41269516944885254,0.15141722559928894,0.6627450585365295,0.5786216855049133,0.4122103750705719
38,0.4154994785785675,0.14978906512260437,0.6614379286766052,0.5837715864181519,0.41043516993522644
39,0.40759843587875366,0.13630808889865875,0.6169934868812561,0.5377039313316345,0.3898327648639679
40,0.42162492871284485,0.15121552348136902,0.6640523076057434,0.587633490562439,0.4150572121143341
41,0.40668198466300964,0.1486813724040985,0.6470588445663452,0.5914434194564819,0.4097446799278259
42,0.400156170129776,0.1358748823404312,0.6183006763458252,0.5443571209907532,0.40136954188346863
43,0.40717464685440063,0.14535723626613617,0.6535947918891907,0.5997249484062195,0.4168134033679962
44,0.394357293844223,0.1447860598564148,0.6392157077789307,0.6063083410263062,0.40327343344688416
45,0.4111049771308899,0.1426803022623062,0.6339869499206543,0.538217306137085,0.4053092300891876
46,0.4241638779640198,0.14549261331558228,0.6379085183143616,0.6063084602355957,0.42696645855903625
47,0.4283645749092102,0.14199326932430267,0.6145098209381132,0.5998464822769165,0.41834142804145813
48,0.4424225687980652,0.14930060505867004,0.6339869499206543,0.5411601662635803,0.42209163308143616
49,0.4523061513900757,0.1540021002292633,0.6509804129600525,0.6117329001426697,0.43503183126449585
50,0.45662257075309753,0.14878425002098083,0.6091503500938416,0.6092373132705688,0.42826899886131287
51,0.4673183262348175,0.1553308218717575,0.6418300271034241,0.5695246458053589,0.43975698947906494
52,0.45915406942367554,0.16242989897727966,0.6627450585365295,0.6146973371505737,0.44437605142593384
53,0.4266980290412903,0.14679472148418427,0.6000000238418579,0.5997500419616699,0.419329434633255
54,0.4381767511367798,0.1581229567527771,0.6614379286766052,0.5789110660552979,0.43669915199279785
55,0.4379284679889679,0.15548695623874664,0.6601307392120361,0.6153449416160583,0.4394131004810333
56,0.41812074184417725,0.1425386369228363,0.5921568870544434,0.6055008769035339,0.4161275625228882
57,0.44943758845329285,0.16090789437294006,0.6614379286766052,0.5982232093811035,0.44552847743034363
58,0.45961928367614746,0.16441933810710907,0.669281005859375,0.6174777150154114,0.45072081685066223
59,0.4514087736606598,0.1522054821252823,0.6039215922355652,0.5871390700340271,0.43114542961120605
60,0.469862699508667,0.16813421249389648,0.6771242022514343,0.594830334186554,0.4512487053871155
61,0.4452472925186157,0.16599267721176147,0.6640523076057434,0.6154209971427917,0.43674707412719727
62,0.4355595111846924,0.15528398752212524,0.6091503500938416,0.5918915867805481,0.4173860549926758
63,0.4660544693470001,0.17152482271194458,0.6758170127868652,0.6220205426216125,0.44668400287628174
64,0.47429990768432617,0.17506015300750732,0.6784313321113586,0.627460241317749,0.44985318183898926
65,0.44939112663269043,0.17112646996974945,0.6209150552749634,0.5719490051269531,0.42060983180999756
66,0.443300724029541,0.1820491999387741,0.6718955039978027,0.6229193806648254,0.43065351247787476
67,0.34092557430267334,0.1676855832338333,0.6627451181411743,0.6248753070831299,0.3810637295246124
68,0.3020866811275482,0.15598180890083313,0.6143791079521179,0.5646185874938965,0.3511851727962494
69,0.3515104651451111,0.16418686509132385,0.6640523076057434,0.6306186318397522,0.3933980166912079
70,0.3614868223667145,0.16165804862976074,0.6562091708183289,0.6344611048698425,0.3931739926338196
71,0.3623470962047577,0.15605175495147705,0.6405228972434998,0.5682430863380432,0.38356754183769226
72,0.3630601465702057,0.16587015986442566,0.6666666865348816,0.6374874711036682,0.3995913863182068
73,0.35044926404953003,0.15680891275405884,0.6326797604560852,0.6350948214530945,0.38105884194374084
74,0.35041865706443787,0.15878631174564362,0.6392157077789307,0.5870199799537659,0.37892353534698486
75,0.3494871258735657,0.16592392325401306,0.657516360282898,0.6411358118057251,0.38661089539527893
76,0.3332732021808624,0.15687958896160126,0.6248366236686707,0.6462836265563965,0.36891821026802063
77,0.33939895033836365,0.16422447562217712,0.6483660340309143,0.5898829698562622,0.3757196366786957
78,0.33864399790763855,0.16378000378608704,0.6483660340309143,0.650842547416687,0.38466349244117737
79,0.332368403673172,0.1534276157617569,0.6052287817001343,0.637122392654419,0.36922842264175415
80,0.34480127692222595,0.16818825900554657,0.6418300271034241,0.5868940949440002,0.38239729404449463
