frame,is_boundary,L0_brown_luma,L0_brown_fraction,L0_cool_fraction,L0_object_luma,L0_temporal_l1,L0_diff_offset_x,L0_diff_offset_y,L0_diff_offset_step,L0_diff_offset_x_accel,L0_brown_offset_x,L0_brown_offset_y,L0_brown_offset_step,L0_brown_offset_x_accel,965a_brown_luma,965a_brown_fraction,965a_cool_fraction,965a_object_luma,965a_temporal_l1,965a_diff_offset_x,965a_diff_offset_y,965a_diff_offset_step,965a_diff_offset_x_accel,965a_brown_offset_x,965a_brown_offset_y,965a_brown_offset_step,965a_brown_offset_x_accel,M1_brown_luma,M1_brown_fraction,M1_cool_fraction,M1_object_luma,M1_temporal_l1,M1_diff_offset_x,M1_diff_offset_y,M1_diff_offset_step,M1_diff_offset_x_accel,M1_brown_offset_x,M1_brown_offset_y,M1_brown_offset_step,M1_brown_offset_x_accel,M1-L0_roi_mae,M1-L0_full_mae,M1-L0_full_psnr,M1-L0_delta_offset_x,M1-L0_delta_offset_y,M1-L0_delta_offset_step,M1-965a_roi_mae,M1-965a_full_mae,M1-965a_full_psnr,M1-965a_delta_offset_x,M1-965a_delta_offset_y,M1-965a_delta_offset_step,L0-965a_roi_mae,L0-965a_full_mae,L0-965a_full_psnr,L0-965a_delta_offset_x,L0-965a_delta_offset_y,L0-965a_delta_offset_step
0,0,39.2650032043457,0.8467999727946678,0.05043188464939128,39.196800231933594,0.0,7.93067377738646,5.2904769864816785,0.0,0.0,0.179837302055887,-0.18442089767597736,0.0,0.0,39.2650032043457,0.8467999727946678,0.05043188464939128,39.196800231933594,0.0,7.93067377738646,5.2904769864816785,0.0,0.0,0.179837302055887,-0.18442089767597736,0.0,0.0,39.196800231933594,0.8476501394273278,0.050397877984084884,39.143001556396484,0.0,7.950133238145497,5.249983321356581,0.0,0.0,0.10119079999611813,-0.06310419179021665,0.0,0.0,0.5373830795288086,0.4803718328475952,47.39203249552844,-2.439218336961858,30.138065194218882,0.0,0.5373830795288086,0.4803718328475952,47.39203249552844,-2.439218336961858,30.138065194218882,0.0,0.0,0.0,168.13080360867912,0.0,0.0,0.0
1,0,39.76759719848633,0.8455805129247552,0.0527153843547786,39.6942024230957,0.023818040266633034,7.432093716090321,9.972354887934443,4.70835032273872,0.0,-0.06581032843502044,0.0779852082026764,0.3594436294722674,0.0,39.76759719848633,0.8455805129247552,0.0527153843547786,39.6942024230957,0.023818040266633034,7.432093716090321,9.972354887934443,4.70835032273872,0.0,-0.06581032843502044,0.0779852082026764,0.3594436294722674,0.0,39.802001953125,0.8464274824677305,0.051563505776332286,39.76759719848633,0.02380189672112465,7.525841884227816,9.902869695500215,4.672191644581886,0.0,-0.07963234522463836,0.12733813816794282,0.26261243475399115,0.0,1.4768387079238892,0.8807774186134338,42.7075282197618,3.3216272049181725,-23.301604402407236,53.749284906442846,1.4768387079238892,0.8807774186134338,42.7075282197618,3.3216272049181725,-23.301604402407236,53.749284906442846,0.0,0.0,168.13080360867912,-0.09763317757040113,0.5682886259569955,0.5766144290204533
2,0,40.06039810180664,0.8428451319993274,0.05512022868673281,39.97500228881836,0.02383492700755596,8.082821507451115,7.506729082582012,2.5500504446910695,1.149307852656932,-0.3268600477753125,0.2384157435624843,0.3064064500683363,0.015402088849384654,40.06039810180664,0.8428451319993274,0.05512022868673281,39.97500228881836,0.02383492700755596,8.082821507451115,7.506729082582012,2.5500504446910695,1.149307852656932,-0.3268600477753125,0.2384157435624843,0.3064064500683363,0.015402088849384654,40.03799819946289,0.8440558264671263,0.05552379350933244,39.97500228881836,0.0236316230148077,8.085981001566665,7.434637625274888,2.530992963890249,0.9844304712565304,-0.18893537914300396,0.3008590593319127,0.20507721303292578,0.07152011130239089,1.3352975845336914,0.8798860907554626,42.95876662892675,4.355477638094612,-0.5171488858849784,22.807899068142174,1.3352975845336914,0.8798860907554626,42.95876662892675,4.355477638094612,-0.5171488858849784,22.807899068142174,0.0,0.0,168.13080360867912,-0.09200092325204423,1.189581452230641,0.6213183550063532
3,0,40.26499938964844,0.8448386119618997,0.053953081350341624,40.26499938964844,0.01838534325361252,7.194123958403168,8.897938032625177,1.6508318134698137,1.5394253404087408,0.4580322906766696,0.45585845713327444,0.8144552269128424,1.0459420577922742,40.26499938964844,0.8448386119618997,0.053953081350341624,40.26499938964844,0.01838534325361252,7.194123958403168,8.897938032625177,1.6508318134698137,1.5394253404087408,0.4580322906766696,0.45585845713327444,0.8144552269128424,1.0459420577922742,40.26499938964844,0.8469590387398607,0.05344821783177948,40.26499938964844,0.018867533653974533,7.252478398128062,9.005791778972252,1.7785533347694158,1.3936417207774525,0.5280817000375464,0.5024056035099989,0.7448050089162511,0.826320113098916,1.5317480564117432,0.9671615362167358,42.177868527154736,3.053164360936023,-3.3057915613628666,3.077750451768307,1.5317480564117432,0.9671615362167358,42.177868527154736,3.053164360936023,-3.3057915613628666,3.077750451768307,0.0,0.0,168.13080360867912,-0.10825751836250674,1.6417580920142996,0.45246877290109877
4,0,40.19679641723633,0.8480174731182796,0.05050403225806452,40.060997009277344,0.03241334483027458,6.893761784054732,11.548603916815978,2.667629484278564,0.5883353746995112,1.4498572184546674,0.016231730900187813,1.084890937274458,0.20693258932601566,40.19679641723633,0.8480174731182796,0.05050403225806452,40.060997009277344,0.03241334483027458,6.893761784054732,11.548603916815978,2.667629484278564,0.5883353746995112,1.4498572184546674,0.016231730900187813,1.084890937274458,0.20693258932601566,40.19679641723633,0.8504704301075269,0.04939516129032258,40.06039810180664,0.03230203688144684,6.870370435977918,11.582509414664685,2.6048954429740427,0.4513946412884593,1.466274170925601,-0.054029899995839514,1.0907912641714863,0.22117539170750433,1.2685956954956055,0.8417108058929443,43.215126101747536,-4.456494216140754,-2.2837915447567525,7.578882238048412,1.2685956954956055,0.8417108058929443,43.215126101747536,-4.456494216140754,-2.2837915447567525,7.578882238048412,0.0,0.0,168.13080360867912,-0.14890197551301299,1.955509566568594,0.316373133628716
5,0,40.767601013183594,0.8470930621529403,0.056499632033183915,40.69419860839844,0.026961706578731537,6.98496452541832,9.564577451375555,1.9861215863084134,0.39156491571202423,1.4630535309090078,0.5516537402654649,0.5355846065517038,0.9786286153236574,40.767601013183594,0.8470930621529403,0.056499632033183915,40.69419860839844,0.026961706578731537,6.98496452541832,9.564577451375555,1.9861215863084134,0.39156491571202423,1.4630535309090078,0.5516537402654649,0.5355846065517038,0.9786286153236574,40.77159881591797,0.850371311968957,0.056934501906737135,40.767601013183594,0.02682030200958252,6.949613032729815,9.398454174142046,2.185492320461087,0.4613505589020406,1.3349845209352225,0.7325106859787525,0.7974227646486214,1.0694821208784333,2.2572152614593506,1.349213719367981,40.8557977405411,-0.09166474386631762,-18.404879029621668,16.701532804407616,2.2572152614593506,1.349213719367981,40.8557977405411,-0.09166474386631762,-18.404879029621668,16.701532804407616,0.0,0.0,168.13080360867912,-0.3078177094035368,2.4433411211259113,0.5130631891880109
6,0,40.767601013183594,0.8443813658373686,0.05343129069961596,40.69419860839844,0.008746491745114326,6.44169778438669,8.843375869280578,0.902923293490331,0.6344694823952182,1.6576281713530534,0.42040511180141493,0.23470298928139763,0.1813783279897052,40.767601013183594,0.8443813658373686,0.05343129069961596,40.69419860839844,0.008746491745114326,6.44169778438669,8.843375869280578,0.902923293490331,0.6344694823952182,1.6576281713530534,0.42040511180141493,0.23470298928139763,0.1813783279897052,40.91600036621094,0.8499248622474537,0.053832025379863084,40.83060073852539,0.008869560435414314,6.444695242512353,8.653706720572472,0.8997726070938417,0.5841603869693586,1.5148440335799478,0.5545927076490784,0.2529906150467176,0.31114916263510395,2.212801933288574,1.3333358764648438,41.24355054410999,0.4725445331304172,-15.036118311822747,3.415681613094856,2.212801933288574,1.333345890045166,41.243532733553245,0.4725445331304172,-15.036118311822747,3.415681613094856,0.0,1.0016025953518692e-05,95.11354923992592,-0.16252196677834263,2.332228763456442,0.18291202489687436
7,0,42.76759719848633,0.847162153170537,0.055958480271475146,42.76759719848633,0.026006855070590973,5.632310436398711,7.893899368313839,1.2476431801484973,0.2661206069563491,0.8123131320805328,0.7652917309154645,0.9129645642982112,1.0398896797165662,42.76759719848633,0.847162153170537,0.055958480271475146,42.76759719848633,0.026006855070590973,5.632310436398711,7.893899368313839,1.2476431801484973,0.2661206069563491,0.8123131320805328,0.7652917309154645,0.9129645642982112,1.0398896797165662,42.69419860839844,0.8478275334353583,0.055958480271475146,42.69419860839844,0.025603950023651123,5.639418261474816,7.85445800909838,1.1345790051741333,0.3003591908200747,0.8138972081511611,0.8890824297661766,0.7766658395221638,0.880806338073512,2.344630479812622,1.377138376235962,40.89864729534297,0.3661604907103424,-17.44205094245342,2.408283494029527,2.344630479812622,1.3771483898162842,40.898630844534765,0.3661604907103424,-17.44205094245342,2.408283494029527,0.0,1.0016025953518692e-05,95.11354923992592,-0.07217688550781531,2.532418208516731,0.2196316179955078
8,0,49.34239959716797,0.8524726186525058,0.05877862595419847,49.91600036621094,0.045761190354824066,6.656562827074083,5.6392387831646715,2.4764061286528514,1.8336397386633507,-1.1021871175692013,1.6235629287430697,2.0980802308132374,1.0691852103772135,49.34239959716797,0.8524726186525058,0.05877862595419847,49.91600036621094,0.045761190354824066,6.656562827074083,5.6392387831646715,2.4764061286528514,1.8336397386633507,-1.1021871175692013,1.6235629287430697,2.0980802308132374,1.0691852103772135,49.69419860839844,0.8526717557251908,0.05944241619648191,49.974998474121094,0.04596112668514252,6.6292346126346615,5.690013517686168,2.3800328496531424,1.795093332197382,-1.1018742312723475,1.732302774099594,2.093131805980834,1.2148246139947219,1.9350088834762573,1.2741361856460571,41.60290557766268,-0.8328457914969931,-11.002178552382304,6.550539860589578,1.9350088834762573,1.2741479873657227,41.60287978172397,-0.8328457914969931,-11.002178552382304,6.550539860589578,0.0,4.006410381407477e-05,89.09294932664629,0.04287693995723885,2.5012351789686136,0.11920471503234215
9,1,49.196800231933594,0.8515022600372242,0.05610210050518479,49.35040283203125,0.019278325140476227,6.373733763748078,6.894396193375883,1.286628308203259,1.307081454001377,-0.6690162113763449,1.3039508351260451,0.5383204662263901,2.3476711558425905,49.196800231933594,0.8515022600372242,0.05610210050518479,49.35040283203125,0.019278325140476227,6.373733763748078,6.894396193375883,1.286628308203259,1.307081454001377,-0.6690162113763449,1.3039508351260451,0.5383204662263901,2.3476711558425905,48.350399017333984,0.8522002127093858,0.05753124169103962,48.779598236083984,0.01921030506491661,6.2323858872048845,6.889415117850433,1.2633499552189955,1.3866650765896225,-0.8170102166643005,1.4311182216213751,0.41455957529662557,2.2006354540315556,2.2387855052948,1.4457740783691406,41.05965496652615,2.0471830415499994,-19.38604044649827,8.864745136708205,2.2387855052948,1.4457873106002808,41.059643585091735,2.0471830415499994,-19.38604044649827,8.864745136708205,0.0,4.006410381407477e-05,89.09294932664629,0.2498503313403262,2.5434505043339755,0.2112347472276283
