block,latent_frame,metric,mean,owner_mean
0,0,causal_owner_confidence,0.0,0.0
0,1,causal_owner_confidence,0.0506960527391549,0.6053628165412832
0,2,causal_owner_confidence,0.08262584308753364,0.6981064346101549
0,0,causal_owner_observation,0.011530016806836312,0.37472554622218013
0,1,causal_owner_observation,0.014825286004596795,0.31207404244277215
0,2,causal_owner_observation,0.017673369825411685,0.23944579478767183
0,0,causal_owner_query_cycle_confidence,0.0,0.0
0,1,causal_owner_query_cycle_confidence,0.13330796939956668,0.7601112723350525
0,2,causal_owner_query_cycle_confidence,0.1511797791074549,0.616964978535497
0,0,causal_owner_support,0.03076923076923077,1.0
0,1,causal_owner_support,0.03461538461538462,1.0
0,2,causal_owner_support,0.04038461538461539,1.0
0,0,causal_owner_transport,0.0,0.0
0,1,causal_owner_transport,0.0321764771183296,0.6893934933123765
0,2,causal_owner_transport,0.04643287943640294,0.7544583763395037
0,0,causal_owner_weight,0.011530016806836312,0.37472554622218013
0,1,causal_owner_weight,0.023863620922351496,0.6893934933123765
0,2,causal_owner_weight,0.030468511352172264,0.7544583763395037
0,0,factorized_source_residual_action,0.6762999152134468,nan
0,1,factorized_source_residual_action,0.6852990099656521,nan
0,2,factorized_source_residual_action,0.6669466542284518,nan
0,0,factorized_source_value_action,0.6762999152134468,nan
0,1,factorized_source_value_action,0.6852990099656521,nan
0,2,factorized_source_value_action,0.6669466542284518,nan
0,0,factorized_target_memory_action,0.03463067992373069,nan
0,1,factorized_target_memory_action,0.03985211732014693,nan
0,2,factorized_target_memory_action,0.04974768925474984,nan
0,0,velocity_owner_ignition,0.011530016806836312,0.37472554622218013
0,1,velocity_owner_ignition,0.014825286004596795,0.31207404244277215
0,2,velocity_owner_ignition,0.017673369825411685,0.23944579478767183
0,0,velocity_owner_response_likelihood,0.19433349879640655,0.6492961207404733
0,1,velocity_owner_response_likelihood,0.1973806185619637,0.7355527548050439
0,2,velocity_owner_response_likelihood,0.1964869307843354,0.7891989217864143
0,0,velocity_owner_signature_similarity,0.0,0.0
0,1,velocity_owner_signature_similarity,0.30967082725121425,0.7511884189314313
0,2,velocity_owner_signature_similarity,0.3494607817668181,0.778158315117397
0,0,velocity_owner_verification,0.27899824486872277,0.7747160326689482
0,1,velocity_owner_verification,0.1513743552932283,0.7236796002145167
0,2,velocity_owner_verification,0.16107435300408934,0.7661439894683777
0,0,velocity_owner_verified_transport,0.0,0.0
0,1,velocity_owner_verified_transport,0.0321764771183296,0.6893934933123765
0,2,velocity_owner_verified_transport,0.04643287943640294,0.7544583763395037
1,0,causal_owner_confidence,0.07720868502555486,0.6750091457203643
1,1,causal_owner_confidence,0.0905807314834629,0.6979554303704876
1,2,causal_owner_confidence,0.09395385824475222,0.691473391794023
1,0,causal_owner_observation,0.025723933635088497,0.2567113588934075
1,1,causal_owner_observation,0.022946605637359122,0.27557504217918605
1,2,causal_owner_observation,0.031175701077191684,0.23900167355757385
1,0,causal_owner_query_cycle_confidence,0.13621364491696003,0.8228853397989926
1,1,causal_owner_query_cycle_confidence,0.16823513260746367,0.7321927592362443
1,2,causal_owner_query_cycle_confidence,0.18710674243706168,0.7364464333014829
1,0,causal_owner_support,0.046794871794871795,1.0
1,1,causal_owner_support,0.046794871794871795,1.0
1,2,causal_owner_support,0.05384615384615385,1.0
1,0,causal_owner_transport,0.030556646064341737,0.5729311631150442
1,1,causal_owner_transport,0.03824790946673602,0.6527854351148213
1,2,causal_owner_transport,0.0422697657181953,0.6312984352310499
1,0,causal_owner_weight,0.026810240325255273,0.5729311631150442
1,1,causal_owner_weight,0.030547010745757667,0.6527854351148213
1,2,causal_owner_weight,0.0339929926662873,0.6312984352310499
1,0,factorized_source_residual_action,0.7303087153179475,nan
1,1,factorized_source_residual_action,0.7313355183001989,nan
1,2,factorized_source_residual_action,0.6703669165738692,nan
1,0,factorized_source_value_action,0.7303087153179475,nan
1,1,factorized_source_value_action,0.7313355183001989,nan
1,2,factorized_source_value_action,0.6703669165738692,nan
1,0,factorized_target_memory_action,0.05744072105331632,nan
1,1,factorized_target_memory_action,0.05906780811010555,nan
1,2,factorized_target_memory_action,0.07097917391438445,nan
1,0,velocity_owner_ignition,0.025723933635088497,0.2567113588934075
1,1,velocity_owner_ignition,0.022946605637359122,0.27557504217918605
1,2,velocity_owner_ignition,0.031175701077191684,0.23900167355757385
1,0,velocity_owner_response_likelihood,0.10426165291581314,0.8054068960147361
1,1,velocity_owner_response_likelihood,0.10523079978342582,0.8203041774973477
1,2,velocity_owner_response_likelihood,0.10620337029054681,0.7230783773674851
1,0,velocity_owner_signature_similarity,0.6280452707531647,0.490862470171223
1,1,velocity_owner_signature_similarity,0.5999472715127736,0.5876222966264372
1,2,velocity_owner_signature_similarity,0.6526190585050827,0.567640065792061
1,0,velocity_owner_verification,0.12188570297126157,0.6030249636467189
1,1,velocity_owner_verification,0.12105315042770086,0.6632607019927403
1,2,velocity_owner_verification,0.12142612218665771,0.5981828336204801
1,0,velocity_owner_verified_transport,0.030556646064341737,0.5729311631150442
1,1,velocity_owner_verified_transport,0.03824790946673602,0.6527854351148213
1,2,velocity_owner_verified_transport,0.0422697657181953,0.6312984352310499
2,0,causal_owner_confidence,0.09119731076181126,0.650498219372071
2,1,causal_owner_confidence,0.10319604243544372,0.6506160616076418
2,2,causal_owner_confidence,0.12075180461904846,0.6624397098297073
2,0,causal_owner_observation,0.029702770542830992,0.2243128106497305
2,1,causal_owner_observation,0.031721398463616005,0.19149944725878804
2,2,causal_owner_observation,0.03532630199900805,0.253857642562399
2,0,causal_owner_query_cycle_confidence,0.17625608368526827,0.8225730265845957
