frame,is_chunk_boundary,source_output_mae,output_temporal_l1
0,0,3.39817214012146,0.0
1,0,10.027551651000977,8.903047561645508
2,0,13.320396423339844,12.296111106872559
3,0,3.993643045425415,1.1531450748443604
4,0,7.461438179016113,5.872582912445068
5,0,7.213724613189697,5.71923828125
6,0,5.364058494567871,2.913285493850708
7,0,8.571304321289062,7.1832780838012695
8,0,7.268275260925293,5.771109580993652
9,1,6.780837535858154,5.520940780639648
10,0,7.050782203674316,5.383388519287109
11,0,9.011362075805664,7.749792098999023
12,0,9.374726295471191,8.229124069213867
13,0,5.152281761169434,3.793159008026123
14,0,7.833691596984863,6.968400955200195
15,0,8.038516998291016,6.647536754608154
16,0,8.347352981567383,7.342297077178955
17,0,10.18679428100586,9.365301132202148
18,0,10.94434642791748,9.948196411132812
19,0,6.747460842132568,5.487522602081299
20,0,7.426080226898193,6.424650192260742
21,1,11.220582962036133,10.685376167297363
22,0,4.781599521636963,2.4610636234283447
23,0,6.2232255935668945,3.9906041622161865
24,0,7.680408477783203,6.277095794677734
25,0,8.695846557617188,7.708204746246338
26,0,6.409239768981934,4.33679723739624
27,0,8.071184158325195,6.790329456329346
28,0,8.225119590759277,7.136373043060303
29,0,9.953629493713379,9.30420970916748
30,0,11.265764236450195,10.427221298217773
31,0,6.183547019958496,4.629271984100342
32,0,6.434436798095703,5.07708740234375
33,1,8.560173034667969,7.84956169128418
34,0,6.788801193237305,5.234774589538574
35,0,8.193217277526855,6.748459815979004
36,0,3.872375011444092,0.8403629064559937
37,0,7.438488960266113,6.183870792388916
38,0,8.361433982849121,7.691473007202148
39,0,7.203424453735352,5.720645427703857
40,0,9.146380424499512,8.243975639343262
41,0,5.796806335449219,4.434187889099121
42,0,5.446505069732666,3.0908987522125244
43,0,3.8724050521850586,0.8263171315193176
44,0,5.672030448913574,3.9155147075653076
45,1,8.195796966552734,7.504105091094971
46,0,5.081658840179443,2.146392583847046
47,0,6.84373140335083,5.214596748352051
48,0,7.189099311828613,5.706935405731201
49,0,4.5970377922058105,2.078706741333008
50,0,8.09609317779541,6.573785781860352
51,0,9.23033332824707,7.860804080963135
52,0,7.020580291748047,5.404022216796875
53,0,8.456181526184082,7.469707489013672
54,0,11.243741035461426,10.423029899597168
55,0,15.959543228149414,15.44778823852539
56,0,7.740542411804199,4.869316577911377
57,1,5.734776496887207,3.616255283355713
58,0,14.370924949645996,13.659220695495605
59,0,4.087681770324707,1.8421841859817505
60,0,8.513182640075684,7.155961036682129
61,0,7.714579105377197,6.3998188972473145
62,0,9.757040023803711,8.838237762451172
63,0,5.22224235534668,2.98936128616333
64,0,3.867018938064575,0.9053443670272827
65,0,9.561782836914062,8.715576171875
66,0,4.006625652313232,1.068589687347412
67,0,8.256585121154785,7.1242995262146
68,0,5.594080448150635,3.66232967376709
69,1,7.53809118270874,6.254170894622803
70,0,6.358539581298828,3.6988232135772705
71,0,6.206764221191406,4.513664245605469
72,0,11.123700141906738,9.663091659545898
73,0,10.351775169372559,8.214521408081055
74,0,4.221889972686768,1.0756902694702148
75,0,6.656787395477295,4.474645137786865
76,0,6.14193868637085,4.511101245880127
77,0,8.377348899841309,7.361449241638184
78,0,7.348775386810303,5.296876907348633
79,0,7.250334739685059,5.688720226287842
80,0,8.872855186462402,7.839841842651367
