frame,is_boundary,support_area,object_luma_median,brown_shell_luma_median,brown_shell_luma_p25,brown_shell_fraction,cool_spot_fraction,background_luma_median,brown_to_background_ratio,temporal_luma_l1
0,0,29406,40.88960266113281,40.88960266113281,37.53139877319336,0.881928858056179,0.045296878188124876,88.21380615234375,0.4635283946990967,0.0
1,0,29517,41.387001037597656,41.387001037597656,38.034000396728516,0.8815597791103432,0.04688823389910899,88.25840759277344,0.46892982721328735,3.2558329105377197
2,0,29735,41.46439743041992,41.387001037597656,38.387001037597656,0.8779216411636119,0.05168992769463595,88.25840759277344,0.46892982721328735,3.053710460662842
3,0,29711,41.88959503173828,41.88959503173828,38.88959884643555,0.8792703039278382,0.04745717074484198,88.39140319824219,0.47391027212142944,5.4118475914001465
4,0,29760,41.738800048828125,41.60879898071289,38.59440231323242,0.8878360215053763,0.043783602150537636,87.8292007446289,0.47374674677848816,7.232461929321289
5,0,29894,42.03799819946289,42.03399658203125,38.608802795410156,0.8852612564394193,0.050679066033317725,88.8292007446289,0.4732002019882202,4.967371463775635
6,0,29945,42.46439743041992,42.38699722290039,38.88959884643555,0.8882952078811154,0.046151277341793286,88.88420104980469,0.4768788814544678,2.865046739578247
7,0,30058,45.312198638916016,45.03399658203125,40.182395935058594,0.8846896001064608,0.04840641426575288,88.8292007446289,0.5069729089736938,6.645339012145996
8,0,30130,53.531402587890625,53.24140167236328,46.594398498535156,0.8885496183206106,0.05064719548622635,88.8292007446289,0.5993682146072388,14.59717845916748
9,1,30088,54.47240447998047,54.387001037597656,46.387001037597656,0.8879952140388194,0.05098378090933262,88.5241928100586,0.6143744587898254,5.48213005065918
10,0,30235,46.485599517822266,46.3280029296875,38.97500228881836,0.8729287249875971,0.05407640152141558,88.19659423828125,0.5252810716629028,11.751925468444824
11,0,30253,44.489601135253906,43.485599517822266,35.974998474121094,0.8670545069910423,0.0567547020130235,88.33360290527344,0.4922882914543152,4.315974712371826
12,0,30293,41.34120178222656,41.034000396728516,33.97500228881836,0.8624434687881689,0.05522728022975605,88.25840759277344,0.4649302065372467,3.8450980186462402
13,0,30310,40.83060073852539,40.485595703125,33.404197692871094,0.8681293302540416,0.056417024084460574,88.07099914550781,0.45969271659851074,4.7454023361206055
14,0,30277,40.974998474121094,40.69419860839844,33.327999114990234,0.8651781880635466,0.058229018727086565,88.33580017089844,0.4606761634349823,3.5865750312805176
15,0,30273,40.485595703125,40.404197692871094,32.69419860839844,0.8640042281901364,0.05833581078849139,88.25960540771484,0.4577881097793579,4.389590740203857
16,0,30276,39.40420150756836,39.2650032043457,31.838600158691406,0.8586008719778042,0.05882547232131061,87.90660095214844,0.44666728377342224,5.6433916091918945
17,0,30288,37.463199615478516,37.03799819946289,30.694198608398438,0.8565438457474908,0.06091521394611728,88.25379943847656,0.4196759760379791,3.516324758529663
18,0,30323,35.03799819946289,34.97500228881836,28.975000381469727,0.8596774725455925,0.05599709791247568,87.90660095214844,0.3978654742240906,5.476162910461426
19,0,30213,33.983001708984375,33.83060073852539,28.404199600219727,0.8559560454109159,0.05901433157912157,87.90660095214844,0.38484710454940796,4.179619789123535
20,0,29942,32.18239974975586,31.974998474121094,27.69420051574707,0.8514795270856991,0.06358960657270724,87.83320617675781,0.3640422523021698,3.2997853755950928
21,1,29960,32.838600158691406,32.69419860839844,28.341197967529297,0.8488985313751669,0.06348464619492657,87.57360076904297,0.37333396077156067,5.105381488800049
22,0,29951,34.83860397338867,34.48560333251953,31.06039810180664,0.8490868418416747,0.07008113251644353,87.27839660644531,0.39512187242507935,6.791420936584473
23,0,30038,34.71660232543945,34.22319793701172,30.98299789428711,0.8295825287968573,0.06887941940209069,87.33580017089844,0.3918576240539551,9.435040473937988
24,0,30635,34.14579772949219,33.42660140991211,29.572200775146484,0.8248082258854251,0.06391382405745062,87.12200164794922,0.38367578387260437,12.283287048339844
25,0,30736,33.85300064086914,33.489601135253906,29.060400009155273,0.8466618948464342,0.05996225923997918,86.90660095214844,0.38535162806510925,9.906448364257812
26,0,28231,33.648399353027344,33.3411979675293,28.85300064086914,0.8860472530197301,0.06599128617477241,86.50309753417969,0.3854335844516754,5.8642683029174805
27,0,28373,34.060401916503906,33.572200775146484,29.42660140991211,0.8842914037993868,0.06957318577520882,86.40399932861328,0.38854914903640747,6.9085845947265625
28,0,28226,35.06039810180664,34.48560333251953,30.924001693725586,0.8868419187982711,0.06688868419187982,86.25840759277344,0.3997941017150879,9.634364128112793
29,0,27997,33.838600158691406,33.394203186035156,30.328001022338867,0.8798085509161696,0.07150766153516448,86.37020111083984,0.386640340089798,8.428337097167969
30,0,28007,32.06039810180664,31.838600158691406,28.178399085998535,0.8807083943299889,0.05955653943656943,86.33580017089844,0.3687763512134552,12.769584655761719
31,0,31563,29.716602325439453,30.694198608398438,26.06039810180664,0.7542692392991794,0.05430409023223395,86.33580017089844,0.3555211126804352,14.939923286437988
32,0,33057,27.060400009155273,27.76759910583496,24.196800231933594,0.7345191638684696,0.052424599933448286,86.25840759277344,0.3219118118286133,12.907937049865723
33,1,33515,36.79280090332031,37.771602630615234,32.28219985961914,0.7596300164105624,0.05129046695509473,85.25839233398438,0.44302505254745483,14.699089050292969
34,0,33562,39.92400360107422,40.350399017333984,33.73379898071289,0.7585364400214528,0.055747571658423214,84.90660095214844,0.4752327799797058,6.051048278808594
35,0,33569,40.801998138427734,41.231201171875,33.97500228881836,0.7553993267598081,0.054335845571807324,84.83319854736328,0.48602673411369324,4.308413505554199
36,0,33460,40.92399597167969,41.648399353027344,34.28219985961914,0.7518529587567244,0.05325762104004782,84.40399932861328,0.49344107508659363,5.061489582061768
37,0,33388,40.06039810180664,40.387001037597656,33.77159881591797,0.7592548220917695,0.05726608362285851,84.82919311523438,0.4760979115962982,8.039826393127441
38,0,33132,41.06039810180664,41.43459701538086,34.42660140991211,0.7560968248219244,0.057738742001690206,84.83319854736328,0.4884243309497833,4.930975914001465
39,0,32923,42.42660140991211,43.034000396728516,35.51199722290039,0.7534854053397321,0.05774078911399326,84.82919311523438,0.5073017477989197,7.091313362121582
40,0,32902,43.060401916503906,43.57219696044922,35.779598236083984,0.7527201993799769,0.060148319251109354,84.82919311523438,0.5136462450027466,4.791284084320068
41,0,32806,43.56420135498047,44.77159881591797,36.309200286865234,0.7616594525391697,0.05883070170090837,84.62460327148438,0.5290612578392029,6.559585094451904
42,0,32262,43.42660140991211,43.38479995727539,37.489601135253906,0.7546649308784328,0.0596987167565557,84.53919982910156,0.5131915211677551,6.418873310089111
43,0,31559,45.36640167236328,43.42660140991211,37.779598236083984,0.7633004848062359,0.06048987610507304,84.43840026855469,0.514299213886261,11.108871459960938
44,0,26999,42.26499938964844,40.92399597167969,35.2650032043457,0.8326604689062558,0.06852105633541983,83.83319854736328,0.48815977573394775,7.353803634643555
