frame,is_boundary,support_area,object_luma_median,brown_shell_luma_median,brown_shell_luma_p25,brown_shell_fraction,cool_spot_fraction,background_luma_median,brown_to_background_ratio,temporal_luma_l1
0,0,29406,32.732200622558594,33.22039794921875,28.50119972229004,0.7768822689247092,0.0691355505679113,84.97760009765625,0.39093121886253357,0.0
1,0,29517,33.22039794921875,33.501197814941406,28.82344961166382,0.7746722227868685,0.07016295694006844,85.07099914550781,0.39380279183387756,5.195151329040527
2,0,29735,33.501197814941406,33.645599365234375,29.22039794921875,0.7727930048764082,0.07321338489994955,84.97760009765625,0.39593490958213806,5.404509544372559
3,0,29711,33.22039794921875,33.645599365234375,29.22039794921875,0.7781629699437919,0.0683248628454108,85.01199340820312,0.3957747519016266,6.07665491104126
4,0,29760,33.22039794921875,33.501197814941406,29.075998306274414,0.7815860215053764,0.064247311827957,84.97760009765625,0.39423564076423645,7.546361923217773
5,0,29894,33.501197814941406,33.939598083496094,29.501197814941406,0.7778149461430387,0.07008095269953837,84.97760009765625,0.3993946313858032,5.192968368530273
6,0,29945,33.22039794921875,33.645599365234375,29.22039794921875,0.7815328101519452,0.06261479378861246,84.97760009765625,0.39593490958213806,4.067902088165283
7,0,30058,33.22039794921875,33.645599365234375,29.22039794921875,0.7889746490119103,0.05755539290704638,84.97760009765625,0.39593490958213806,5.3248443603515625
8,0,30130,29.939598083496094,30.220399856567383,27.22039794921875,0.7838367076003983,0.0665449717889147,84.83319854736328,0.3562331795692444,8.839530944824219
9,1,30088,26.79400062561035,26.79400062561035,22.939599990844727,0.7614663653283701,0.070194097314544,85.25559997558594,0.3142784833908081,5.9608025550842285
10,0,30235,22.79399871826172,23.045299530029297,20.79399871826172,0.7147345791301472,0.070448156110468,85.11810302734375,0.2707449793815613,5.794739246368408
11,0,30253,22.219200134277344,22.79399871826172,19.79400062561035,0.6846593726242025,0.06756354741678511,85.12200164794922,0.2677803337574005,2.844921112060547
12,0,30293,21.083999633789062,21.79400062561035,19.649599075317383,0.6347671079127191,0.061433334433697556,85.00279998779297,0.2563915550708771,5.864058017730713
13,0,30310,21.21919822692871,21.79400062561035,19.79400062561035,0.6643352029033323,0.0604750907291323,84.97760009765625,0.2564675807952881,3.899240732192993
14,0,30277,21.21919822692871,21.79400062561035,19.79400062561035,0.6622518743600753,0.06407504045975493,84.93159484863281,0.2566065192222595,2.2262227535247803
15,0,30273,21.21919822692871,21.79400062561035,19.79400062561035,0.6577478280976448,0.06547088164370891,84.86759948730469,0.2568000257015228,3.2255678176879883
16,0,30276,21.074798583984375,21.79400062561035,19.79400062561035,0.6479059320914256,0.06675254326859559,84.83319854736328,0.25690415501594543,4.830685615539551
17,0,30288,20.79399871826172,21.649600982666016,19.79400062561035,0.6380744849445324,0.0697636027469625,84.83319854736328,0.2552019953727722,2.654021978378296
18,0,30323,20.79399871826172,21.586599349975586,19.21950054168701,0.605283118424958,0.06513207796062395,84.80460357666016,0.254545122385025,3.340790033340454
19,0,30213,19.79400062561035,21.21919822692871,18.79399871826172,0.5906066924833681,0.06828186542216927,84.77020263671875,0.2503143548965454,5.108868598937988
20,0,29942,19.79400062561035,20.939599990844727,18.79399871826172,0.5762140137599359,0.07107073675773161,84.64820098876953,0.24737206101417542,5.185618877410889
21,1,29960,20.79399871826172,21.513198852539062,19.22319984436035,0.6158878504672897,0.07373164218958611,84.77020263671875,0.25378257036209106,4.975455284118652
